#{"t_start": 1754090419.815753, "env_id": "None"}
r,l,t
-16.248726,25,56.187984
0.0,25,56.266402
0.0,25,56.266402
0.0,25,56.266402
0.0,25,56.266402
0.0,25,56.345923
0.0,25,56.345923
0.0,25,56.345923
0.0,25,56.345923
0.0,25,56.420009
0.0,25,56.420009
0.0,25,56.420009
-5.8915954,25,56.420009
0.0,25,56.512168
0.0,25,56.513228
0.0,25,56.513228
-7.2333,25,56.513228
0.0,25,56.58828
0.0,25,56.58828
0.0,25,56.58828
-7.7997246,25,56.58828
0.0,25,56.682483
0.0,25,56.682483
0.0,25,56.682483
0.0,25,56.682483
0.0,25,56.772334
0.0,25,56.772334
0.0,25,56.772334
0.0,25,56.772334
0.0,25,56.858423
0.0,25,56.858423
0.0,25,56.858423
0.0,25,56.858423
10.0,25,56.933521
10.0,25,56.933521
10.0,25,56.933521
-10.0,25,56.933521
0.0,25,56.998212
0.0,25,56.998212
0.0,25,56.998212
0.0,25,56.998212
0.0,25,57.063222
0.0,25,57.063222
0.0,25,57.063222
0.0,25,57.063222
0.0,25,57.128268
0.0,25,57.128268
0.0,25,57.128268
0.0,25,57.128268
0.0,25,57.202843
0.0,25,57.202843
0.0,25,57.202843
-3.8589458,25,57.202843
0.0,25,57.288223
0.0,25,57.288223
0.0,25,57.288223
-9.389853,25,57.288223
0.0,25,57.372436
0.0,25,57.372436
0.0,25,57.372436
-50.634937,25,57.372436
0.0,25,57.458487
0.0,25,57.458487
0.0,25,57.458487
-12.585897,25,57.458487
0.0,25,57.529407
0.0,25,57.529407
0.0,25,57.529407
0.0,25,57.529407
20.0,25,57.618181
20.0,25,57.618181
20.0,25,57.618181
-20.0,25,57.618181
0.0,25,57.698303
0.0,25,57.698303
0.0,25,57.698303
0.0,25,57.698303
0.0,25,57.803266
0.0,25,57.803266
0.0,25,57.803266
0.0,25,57.803266
0.0,25,65.746137
0.0,25,65.746137
0.0,25,65.746137
0.0,25,65.746137
0.0,25,65.822295
0.0,25,65.822295
0.0,25,65.822295
-4.732994,25,65.822295
0.0,25,65.894003
0.0,25,65.894003
0.0,25,65.894003
0.0,25,65.894003
10.0,25,65.962129
10.0,25,65.962129
10.0,25,65.962129
-17.874414,25,65.962129
0.0,25,66.038156
0.0,25,66.038156
0.0,25,66.038156
0.0,25,66.038156
0.0,25,66.117732
0.0,25,66.117732
0.0,25,66.121467
0.0,25,66.121467
0.0,25,66.205942
0.0,25,66.205942
0.0,25,66.208451
0.0,25,66.208451
0.0,25,66.305068
0.0,25,66.305068
0.0,25,66.305068
0.0,25,66.305068
0.0,25,66.393343
0.0,25,66.393343
0.0,25,66.393343
0.0,25,66.393343
0.0,25,66.473197
0.0,25,66.473197
0.0,25,66.473197
0.0,25,66.473197
0.0,25,66.54832
0.0,25,66.54832
0.0,25,66.54832
-13.924584,25,66.54832
0.0,25,66.631753
0.0,25,66.631753
0.0,25,66.631753
0.0,25,66.631753
0.0,25,66.701167
0.0,25,66.701167
0.0,25,66.701167
-7.992374,25,66.701167
30.0,25,66.795187
30.0,25,66.795732
30.0,25,66.795732
-30.0,25,66.795732
0.0,25,66.902362
0.0,25,66.902362
0.0,25,66.902362
-1.2983056,25,66.902867
0.0,25,66.988288
0.0,25,66.988288
0.0,25,66.989827
-27.306852,25,66.989827
0.0,25,67.075774
0.0,25,67.075774
0.0,25,67.075774
-1.4326919,25,67.075774
0.0,25,67.153831
0.0,25,67.153831
0.0,25,67.153831
0.0,25,67.153831
0.0,25,67.228337
0.0,25,67.228337
0.0,25,67.228337
0.0,25,67.228337
